,sents
15,"He just had to be involved in the winner, spraying one of his trademark passes over the top of the defence for Mata to set up Rashford"
16,"Carrick was instrumental in United's opener in the 34th minute, as he played the ball over the top for Juan Mata, who then laid it off for Rashford to score his seventh league goal of the season"
17,"He just had to be involved in the winner, spraying one of his trademark passes over the top of the defence for Mata to set up Rashford"
18,"Watford remained undeterred, though, and should have levelled 10 minutes later, but Richarlison could only head Daryl Janmaat's cross too close to Romero, who flung out an arm to make a smart stop"
19,"He also made a couple of crucial saves, in particular to deny Laurent Depoitre right on the goal line in stoppage time"
20, It was a goal that Wenger would certainly have approved of as Alexandre Lacazette and Henrikh Mkhitaryan combined with some slick one-touch passing before Aubameyang slid in to convert Aaron Ramsey's cross to score his ninth Premier League goal
21,Half-chances then fell to Wayne Routledge and King - but both were spurned which never gave Swansea the momentum they were looking for
22,Andy King slid Swansea in front (14) but Paul Lambert's side struck back before the break through Badou Ndiaye (31) and Peter Crouch (41)
23,Andre Ayew flicked a ball over Ryan Shawcross and King waltzed through before sliding a tidy finish into the bottom corner
24,Half-chances then fell to Wayne Routledge and King - but both were spurned which never gave Swansea the momentum they were looking for
25,"Jack Butland came to Stoke's rescue on a couple of occasions in closing stages, denying Andre Ayew and Sam Clucas as Swansea wastefulness in front of goal haunted them once again"
26,Andre Ayew flicked a ball over Ryan Shawcross and King waltzed through before sliding a tidy finish into the bottom corner
27,"Thibaut Courtois made two decent saves from Jonjo Shelvey and Mo Diame's long-range efforts, before reacting well to keep out N'Golo Kante's poke towards his own goal from close range"
28,"Newcastle went ahead on 23 minutes through Gayle, who headed home after Jacob Murphy's looping effort had been tipped off the line by Courtois only to fall kindly into the striker's path a few yards out"
29,"Newcastle doubled their lead through Spaniard Perez, who was on hand 12 yards out to get a touch on Shelvey's low drive from the edge of the box, leaving Courtois with no chance"
30,"Bakayoko didn't break sweat, I didn't see him sprint once to the ball, and it was a big opportunity for him today"
31,"Ross Barkley saw a clear opportunity from close range well blocked by Dubravka minutes later, before Perez made it 3-0, turning into the net from under the crossbar after the unmarked Florian Lejeune had squared from Shelvey's deep free-kick"
32," Ross Barkley at times tried, but it just wasn't his day"
33,Any hopes of a Tottenham revival after half-time were hit when Iheanacho held off Victor Wanyama before his effort rocketed into the top corner from 20 yards
34,"Tottenham's reaction was immediate and they levelled through Kane, trailing Salah in the Golden Boot race by three before the match, when he paced away from Danny Simpson and beat Eldin Jakupovic at his near post"
35,"Three minutes later, Spurs retook the lead for what would be the final time, Kane cutting inside and bending the ball around Jakupovic for his second of the day, and once he missed Danny Rose's cross from the left altogether late on he knew his Golden Boot chances were up"
36,"Tottenham's reaction was immediate and they levelled through Kane, trailing Salah in the Golden Boot race by three before the match, when he paced away from Danny Simpson and beat Eldin Jakupovic at his near post"
37,"Kane levelled (7) but found themselves 3-1 down thanks to a classy Mahrez finish (16) and Kelechi Iheanacho's superb long-ranger (47), before Erik Lamela's close-range finish (49) and a Christian Fuchs own goal (53) made it 3-3"
38,"Kyle Walker-Peters, a surprise inclusion in the hosts' line-up, was caught out early on when he tripped Demarai Gray out wide"
39,"West Ham had the better of the opening exchanges but once United found their feet they dominated the chances, with Scott McTominay firing just wide and Jesse Lingard forcing Adrian into a smart save"
40,Pogba then nodded wide and Arnautovic miscued a tricky dipping ball over his shoulder wide from inside the box in a rare home attack
41,"Late on Noble was left incensed by an intentional trip by Pogba and pushed the United midfielder in the face, which earned only a caution for both players from referee Moss"
42,"As the interval approached Adrian again beat away an ambitious long-range effort from Lingard, and soon after the break it appeared United had forged an opening - but when Pogba's flick set Sanchez beyond the goalkeeper, he could not force the ball home from a tight angle"
43,"Saints should have been ahead on the hour mark, but Austin's header in space eight yards out from Cedric Soares' cross was straight at Lukasz Fabianski"
44,"But on 72 minutes they did break the deadlock as sub Gabbiadini, who had been on the pitch for just five minutes, drove home from close range after Alfie Mawson had blocked Shane Long's volley on the goal line"
45,"With so much at stake, the first half was a cagey affair, with half-chances falling to Sam Clucas and Charlie Austin inside the penalty area, but things picked up in the second"
46,"With so much at stake, the first half was a cagey affair, with half-chances falling to Sam Clucas and Charlie Austin inside the penalty area, but things picked up in the second"
47,"Shane Long missed a chance to wrap it up late on, hitting into the side-netting when the square pass to the unmarked Gabbiadini seemed the better option, but after a nervy finish, Mark Hughes' side held on"
48," His ball was bravely attacked by Depoitre, who bounced off Willy Caballero and gleefully tucked the ball into the empty net"
49,"For Chelsea, Marcos Alonso's equaliser (60) wasn't enough to deny the tenacious Terriers, who survived a late onslaught from the Blues, with goalkeeper Jonas Lossl in fine form - including an incredible one-handed save to deny Andreas Christensen"
50,After an almighty scramble a half-clearance fell to Christensen but his header was somehow tipped onto the post by Lossl
51," Lossl's save from Christensen was quite simply, extraordinary"
52,Set-pieces seemed their best route and Anthony Rudiger somehow turned a Cesar Azpilicueta flick-on wide from two yards out on 13 minutes
53, Cries for a foul on Willian were ignored by referee Lee Mason and Mooy charged forward
54, Azpilicueta and Willian were providing great service on the right but both Morata and Giroud couldn't force a winner home
55, Alvaro Morata skipped through on goal 40 minutes but failed to find a decisive finish after rounding Lossl
56, Azpilicueta and Willian were providing great service on the right but both Morata and Giroud couldn't force a winner home
57,Huddersfield needed their goalkeeper again in the final stages as he beat away a powerful attempt from Morata while Giroud also hooked a close-range effort wide
58,Conte called for reinforcements from the bench as Eden Hazard and Olivier Giroud entered the fray
59,Conte called for reinforcements from the bench as Eden Hazard and Olivier Giroud entered the fray
60, Azpilicueta and Willian were providing great service on the right but both Morata and Giroud couldn't force a winner home
61,Huddersfield needed their goalkeeper again in the final stages as he beat away a powerful attempt from Morata while Giroud also hooked a close-range effort wide
62,"Leicester opened the scoring after just 14 minutes thanks to Kelechi Iheanacho's second league goal of the season, before the striker was then brought down by Konstantinos Mavropanos when clean through on goal"
63,"The 21-year-old opened the scoring with an excellent first-half finish, before being involved in the pivotal moment when Mavropanos was dismissed for bringing the frontman down seconds later"
64,"Ayoze Perez's produced an air shot of his own shortly after with the goal gaping, and Kenedy struck wide from range, before sub Jacob Murphy blazed over a fine opportunity from close range having wrestled free of Davinson Sanchez"
65,"Things didn't go for Spurs in a nervy first half; Christian Eriksen forced a fine save from Martin Dubravka from a free-kick, while Jonjo Shelvey hit the outside of the post from his own set piece, before Jamaal Lascelles' header was brilliantly saved by Hugo Lloris"
66,"Kane made amends on 50 minutes, stroking his effort into the top right corner from just inside the box after a neat exchange with Heung-min Son"
67,"Things didn't go for Spurs in a nervy first half; Christian Eriksen forced a fine save from Martin Dubravka from a free-kick, while Jonjo Shelvey hit the outside of the post from his own set piece, before Jamaal Lascelles' header was brilliantly saved by Hugo Lloris"
68,"Dwight Gayle spurned a fine chance from close range, heading over as he got in-between the Spurs centre backs, and at the other end Kane produced an air shot from 15 yards after racing through one-on-one with Dubravka"
69,"After the Chelsea result filtered through, sub Danny Rose should have wrapped up the win in stoppage time, but he hit straight at Dubravka with his weaker right foot after being played through on goal by Erik Lamela before huge relief at the final whistle"
70,"His fine stop in the first from Lascelles header, when Newcastle were firmly on top, was world class, and he stood up to the challenge in the second half as Newcastle began to go direct"
71,"Things didn't go for Spurs in a nervy first half; Christian Eriksen forced a fine save from Martin Dubravka from a free-kick, while Jonjo Shelvey hit the outside of the post from his own set piece, before Jamaal Lascelles' header was brilliantly saved by Hugo Lloris"
72,"Rafa Benitez claimed Newcastle should have had two penalties in the game; Matt Ritchie appeared to be brought down by Hugo Lloris as the goalkeeper rushed out, while Ayoze Perez also saw half-hearted appeals waved away by Neil Swarbrick"
73,"Rafa Benitez claimed Newcastle should have had two penalties in the game; Matt Ritchie appeared to be brought down by Hugo Lloris as the goalkeeper rushed out, while Ayoze Perez also saw half-hearted appeals waved away by Neil Swarbrick"
74,"Ayoze Perez's produced an air shot of his own shortly after with the goal gaping, and Kenedy struck wide from range, before sub Jacob Murphy blazed over a fine opportunity from close range having wrestled free of Davinson Sanchez"
75,"Dwight Gayle spurned a fine chance from close range, heading over as he got in-between the Spurs centre backs, and at the other end Kane produced an air shot from 15 yards after racing through one-on-one with Dubravka"
76,"Ayoze Perez's produced an air shot of his own shortly after with the goal gaping, and Kenedy struck wide from range, before sub Jacob Murphy blazed over a fine opportunity from close range having wrestled free of Davinson Sanchez"
77,"Mark Noble was denied early on as Pickford produced a brilliant save low to his left after, before Niasse pounced on a mistake by Angelo Ogbonna to force Adrian into a smart stop with his legs"
78,"Oumar Niasse pulled a goal back with a close-range finish (74), but Lanzini capped a scintillating display with a brilliant strike past Jordan Pickford via the post (82)"
79,"Mark Noble was denied early on as Pickford produced a brilliant save low to his left after, before Niasse pounced on a mistake by Angelo Ogbonna to force Adrian into a smart stop with his legs"
80,"Edimilson Fernandes, an early substitute for the injured Arthur Masuaku, fed Arnautovic and the former Stoke City forward rolled Michael Keane before unleashing a venomous shot from 25 yards that moved in the air on its way past Pickford"
81,"But any hopes they had of salvaging something were ended in fine style by Lanzini as he picked up Pablo Zabaleta's pass, cut inside Seamus Coleman on the left and bent a superb right-foot shot that curled beyond the outstretched Pickford and in off the post"
82,"But any hopes they had of salvaging something were ended in fine style by Lanzini as he picked up Pablo Zabaleta's pass, cut inside Seamus Coleman on the left and bent a superb right-foot shot that curled beyond the outstretched Pickford and in off the post"
83,"Edimilson Fernandes, an early substitute for the injured Arthur Masuaku, fed Arnautovic and the former Stoke City forward rolled Michael Keane before unleashing a venomous shot from 25 yards that moved in the air on its way past Pickford"
84,"Former City midfielder Aaron Mooy, making his first appearance at the Etihad, fizzed an effort just wide on 10 minutes before Alex Pritchard's clever free-kick released Florent Hadergjonaj, only for the defender to shoot straight at Ederson"
85,"And it was not long until the Terriers were back on the attack, Pritchard's 25-yard drive drawing a save from Ederson before Mooy released the returning Chris Lowe on the overlap, and he blazed wide at the near post"
86,"Huddersfield were almost made to pay for those misses three minutes later as City captain David Silva combined with Leroy Sane and found Kevin De Bruyne on edge of the area, but the Belgian whistled a shot wide of goal"
87,"Gabriel Jesus drifted a header onto the roof of the net with 10 minutes remaining, before substitutes Bernardo Silva and Benjamin Mendy went close with efforts, but focus soon turned to the trophy celebrations on a sun-drenched afternoon"
88,"Gabriel Jesus drifted a header onto the roof of the net with 10 minutes remaining, before substitutes Bernardo Silva and Benjamin Mendy went close with efforts, but focus soon turned to the trophy celebrations on a sun-drenched afternoon"
89,"Gabriel Jesus drifted a header onto the roof of the net with 10 minutes remaining, before substitutes Bernardo Silva and Benjamin Mendy went close with efforts, but focus soon turned to the trophy celebrations on a sun-drenched afternoon"
90,"Gabriel Jesus drifted a header onto the roof of the net with 10 minutes remaining, before substitutes Bernardo Silva and Benjamin Mendy went close with efforts, but focus soon turned to the trophy celebrations on a sun-drenched afternoon"
91,"Victor Moses reached the byline before checking back onto his left foot, his cross took a slight deflection and Giroud beat Dejan Lovren to the ball at the near post and guided it past Loris Karius and into the far corner"
92,"The Chelsea playmaker just edges out Antonio Rudiger, who kept Mo Salah quiet all game"
93,Jurgen Klopp's side started brightly and Roberto Firmino saw his third-minute effort saved by Thibaut Courtois after Trent Alexander-Arnold's ball over the top
94,"Klopp sent on Dominic Solanke to provide more of a physical presence up front and the Liverpool youngster had the visitors' two best efforts in the closing stages, firstly heading just over from 12 yards and then nodding wide in stoppage time"
95,"Victory would have seen Stoke survive in the Premier League for at least another day, but Palace dominated possession after the break and saw their pressure pay off in the 68th minute when McArthur slid past Jack Butland"
96,"Ryan Shawcross slid to block Zaha's pass but only succeeded in playing it through for Van Aanholt, who finished under Butland"
97,"Ryan Shawcross slid to block Zaha's pass but only succeeded in playing it through for Van Aanholt, who finished under Butland"
98,Xherdan Shaqiri put the Potters ahead with a brilliant free-kick in the 43rd minute but James McArthur levelled for Palace after half-time
99,"However, Shaqiri broke the deadlock late in the first half when his free-kick deflected off Loftus-Cheek and flew into the top corner"
100,"Neither side created much in a tight first half at the bet365 Stadium, with Mame Diouf glancing a header wide from Shaqiri's cross in the 22nd minute and Ruben Loftus-Cheek and Wilfried Zaha missing the target for Palace"
101,Zaha and Christian Benteke wasted excellent chances to put Palace ahead before Van Aanholt struck the winner with four minutes remaining
102,Sub Danny Welbeck hit the crossbar with a fine long-range effort late on as Arsenal entertained the home fans for the last time under the 22-year stewardship of Wenger
103,"After Wilshere broke out of midfield with a quick turn of pace, Kolasinac finished off from the left of the box with a thumping left-footed drive past Nick Pope"
104,"Burnley's first chances came after the break; Sam Vokes could only head at Petr Cech from close range, and Aaron Lennon forced Cech into an awkward save at his near post, but Arsenal got going again shortly after"
105,"Burnley's first chances came after the break; Sam Vokes could only head at Petr Cech from close range, and Aaron Lennon forced Cech into an awkward save at his near post, but Arsenal got going again shortly after"
106,"Martin Olsson could only head Andre Ayew's cross over the crossbar as Swansea spurned yet another chance and they were soon punished when Fraser stroked home a smart Bournemouth free-kick routine, after Alfie Mawson had dragged Wilson down on the edge of the penalty area"
107,"Martin Olsson could only head Andre Ayew's cross over the crossbar as Swansea spurned yet another chance and they were soon punished when Fraser stroked home a smart Bournemouth free-kick routine, after Alfie Mawson had dragged Wilson down on the edge of the penalty area"
108,"Boosted ahead of kick-off by events at the bet365 Stadium, where  saw their relegation confirmed, Swansea had the chance to take a significant stride towards safety with victory at Bournemouth and they were nearly ahead in the 11th minute with Mike van der Hoorn and Nathan Dyer denied by a smart double save from Asmir Begovic"
109,Carvalhal turned to Tammy Abraham from the bench and they sent bodies forward in search of an equaliser but lacked quality in the final third of the pitch
110,He did not get the goal his display deserved but King produced a performance full of energy against Swansea
111,"West Ham began the game well, but could not really test Leicester goalkeeper Ben Hamer until the half an hour mark, with Manuel Laznini sliding Marko Arnautovic through in the area but his shot was well blocked by the legs of the stopper"
112,"Two minutes later, Arnautovic should have opened the scoring but his brilliantly curled effort could only ping against the upright and go wide, with Hamer well beaten in goal"
113, The Portuguese then swept home past Hamer
114, He palmed away a near-post header from Yohan Benalouane before denying the defender again as he tried to head home from a corner
115, It was a wonderful strike from Noble as he collected a headed clearance from Aleksandar Dragovic before powering a volley through the area and into the net off the post
116,"Hosts Watford took the lead after just three minutes as Roberto Pereyra simply finished off a move involving Andre Gray, Troy Deeney and Abdoulaye Doucoure, and it was 2-0 on 28 minutes as Gray nodded home at the far post from Pereyra's cross"
117,"Deeney saw a late first-half penalty saved by Martin Dubravka, before Ayoze Perez halved the deficit 10 minutes after the break with a fine far-post finish with the outside of his boot"
118,"It should have been 2-0 on seven minutes as Pereyra and then Deeney saw close-range efforts blocked by Dubravka, and the Newcastle goalkeeper was again at his best to deny Gray's effort from an angle inside the box"
119,"Adrian Mariappa nearly turned into his own net midway through the second half, and Perez hit the outside of the post with a fine flick from a corner, but Watford held on to make sure they'll be playing Premier League football for a fourth straight season"
120,"Watford were quickest out of the stops and took the lead through Pereyra's finish from 10 yards, slotting home at the near post after Paul Dummett have failed to clear the ball in the box, allowing Doucoure to feed the Argentine to score"
121,Shortly afterwards there was a flashpoint between Danny Rose and Allan Nyom on the left touchline which resulted in the latter going to ground clutching his face following a push
122, Both players were booked after the incident and Nyom had to be restrained by his team-mates after remonstrating furiously with the referee
123,"West Brom rallied towards the end of the half and had two great chances to score, Jay Rodriguez latching onto a hopeful long ball into the box to lob over Hugo Lloris, only to see Toby Alderweireld head his effort over the bar on the goal line"
124,Shortly afterwards there was a flashpoint between Danny Rose and Allan Nyom on the left touchline which resulted in the latter going to ground clutching his face following a push
125,Harry Kane missed a gilt-edged chance to give Spurs the lead in the first half and almost scored at the wrong end as his attempted clearance forced Hugo Lloris into a smart reaction save with 15 minutes remaining
126,Kane has not been at his prolific best since returning from an ankle injury last month and he snatched at a good opportunity midway through the first half after being picked out by Kieran Trippier
127,"As the game wore on, West Brom grew increasingly confident and they almost snatched the lead through an unlikely source as Kane - off the pace again - shinned the ball towards the goal inside his six-yard box"
128,"A slack pass from Eric Dier allowed Etienne Capoue to release Andre Gray, but Watford's £18"
129,"Karnezis spilled Trippier's cross, presenting the ball straight to Eriksen, whose first-time ball found Alli for a simple tap-in after 16 minutes to ease any nerves among the subdued home supporters"
130,"It was the type of chance Watford had to take on a night when Spurs dominated, and Heung-Min Son was then unfortunate not to win a penalty when going down under a challenge from Abdoulaye Doucoure"
131,Harry Kane scored in Tottenham's routine 2-0 win over Watford to reopen their five-point cushion over Chelsea in the race for a top-four finish
132,"Mauricio Pochettino's side were flat in the first half, but it took just three minutes into the second period for Kane to tuck in Kieran Trippier's cross and take his tally to 38 goals for the season"
133,"Kane initially slipped from Son's cross, but he got back up to his feet to convert Trippier's low ball to score his 27th league goal of the campaign, four behind Mohamed Salah in his quest for the Premier League Golden Boot"
134,"Dele Alli's fourth Premier League goal in his last five games gave Spurs the perfect start at Wembley, pouncing on a mistake from Orestis Karnezis to finish from Christian Eriksen's pass (16)"
135,"Karnezis spilled Trippier's cross, presenting the ball straight to Eriksen, whose first-time ball found Alli for a simple tap-in after 16 minutes to ease any nerves among the subdued home supporters"
136,"It was the type of chance Watford had to take on a night when Spurs dominated, and Heung-Min Son was then unfortunate not to win a penalty when going down under a challenge from Abdoulaye Doucoure"
137,"Spurs continued to present chances to their opponents as a delightful touch from Will Hughes found Doucoure on the left of the Tottenham penalty area, but having cut back inside, the pair got in each other's way as Lloris gathered Doucoure's shot at the second attempt"
138,"A slack pass from Eric Dier allowed Etienne Capoue to release Andre Gray, but Watford's £18"
139,"Jan Vertonghen came within inches of stretching their lead when his header from Trippier's free-kick struck a post, before Richarlison blazed over from Troy Deeney's knock-down with 20 minutes remaining"
140,"A rare mistake nearly resulted in Deeney grabbing a consolation goal, but the former Burnley full-back repaid the faith shown in him by Pochettino, vindicating his decision to be selected in front of substitute Serge Aurier"
141,"But after Romelu Lukaku was taken off injured after the break, Mkhitaryan made it second-time lucky, striking through the legs of Victor Lindelof and into the bottom corner from 20 yards"
142,"Alexis Sanchez saw his header from point-blank range superbly diverted onto the post by Hector Bellerin, but Pogba was on hand to poke into the empty net from three yards"
143,"But after Romelu Lukaku was taken off injured after the break, Mkhitaryan made it second-time lucky, striking through the legs of Victor Lindelof and into the bottom corner from 20 yards"
144,"At the end of an uneventful second half, United thought they had won it when sub Marcus Rashford deflected the ball home from close range after Fellaini's header had ricocheted off the post, but he was rightly flagged offside"
145,"United did win it moments later through Fellaini, who rose highest in the area to meet Young's fine cross and loop a header into the far corner beyond the grasp of David Ospina"
146,"With survival yet to be secured, the Hammers were cautious in the opening exchanges but their reluctance to go after the champions proved costly as Sane's curling effort took a wicked deflection off Patrice Evra on its way past a stricken Adrian in the home goal"
147,"That hope was extinguished within eight minutes of the restart, though, as Jesus released Raheem Sterling in behind before gathering the England forward's cross, skipping inside Zabaleta and firing past Adrian from close range"
148,Leroy Sane opened the scoring for the visitors at the London Stadium with a deflected 13th-minute strike before a calamitous Pablo Zabaleta own goal in the 27th minute saw City become the first club in Premier League history to hit a century of goals in two seasons
149,"That kicked West Ham into gear as Manuel Lanzini drew a save from Ederson, but City were soon two to the good as a Declan Rice error, for the second week running, saw him turn the ball into the back of the net off former City defender Zabaleta"
150,"That hope was extinguished within eight minutes of the restart, though, as Jesus released Raheem Sterling in behind before gathering the England forward's cross, skipping inside Zabaleta and firing past Adrian from close range"
151,"That kicked West Ham into gear as Manuel Lanzini drew a save from Ederson, but City were soon two to the good as a Declan Rice error, for the second week running, saw him turn the ball into the back of the net off former City defender Zabaleta"
152,"Aaron Cresswell halved the deficit on 42 minutes with a sumptuous free-kick, but goals from Gabriel Jesus (53) and Fernandinho (64) saw City re-establish control and equal their highest goals tally in a Premier League campaign"
153,"After Ilkay Gundogan's foul on Edimilson Fernandes was incorrectly adjudged to have been outside the area, Cresswell whipped the resulting free-kick over the City wall to give West Ham hope before half-time"
154,"An apparent blatant foul by Cresswell on Sterling in the area went unpunished on 58 minutes, but City wrapped up their victory when Fernandinho converted their fourth on 64 minutes from Sterling's precise cross"
155,Sterling enjoyed the freedom of the London Stadium down the right flank behind Cresswell
156,"With survival yet to be secured, the Hammers were cautious in the opening exchanges but their reluctance to go after the champions proved costly as Sane's curling effort took a wicked deflection off Patrice Evra on its way past a stricken Adrian in the home goal"
157,"After Ilkay Gundogan's foul on Edimilson Fernandes was incorrectly adjudged to have been outside the area, Cresswell whipped the resulting free-kick over the City wall to give West Ham hope before half-time"
158,"That kicked West Ham into gear as Manuel Lanzini drew a save from Ederson, but City were soon two to the good as a Declan Rice error, for the second week running, saw him turn the ball into the back of the net off former City defender Zabaleta"
159," In the 48th minute, Jack Stephens engineered a chance outside the box, but Pope comfortably got down low to make the necessary stop"
160,"Sean Dyche brought on Sam Vokes for Chris Wood in the 66th minute, who looked to be carrying a knock, and the Wales international came close to scoring with his first touch"
161,Ryan was tested a few times by the Burnley attack and pulled off an excellent stop to deny Barnes in the first half
162,"Brighton struggled to create any clear-cut chances, with Bruno coming closest for Chris Hughton's side in the 18th minute, but neither team could break the deadlock in a lacklustre second half"
163,"In a tightly-contested first half, the first real opportunity came to Brighton's right-back Bruno in the 18th minute as his volley fizzed past Nick Pope's near post at a corner"
164," In the 48th minute, Jack Stephens engineered a chance outside the box, but Pope comfortably got down low to make the necessary stop"
165, Zouma kept Roberto Firmino and Salah very quiet with some strong tackling and was there to clear danger in the final stages when Liverpool went a bit more direct
166,Klopp's men had averaged a goal every 39 minutes at home this season but could only really point to a glaring one-on-one miss from Salah and a disallowed Danny Ings strike as clear-cut chances
167,"There was a real collectors' item for Liverpool fans in the opening minutes as Salah raced through, one-on-one with Jack Butland, but lifted an effort wide of the post when he looked certain to score"
168,"Salah then turned provider for Trent Alexander-Arnold, who only had Butland to beat from 10 yards but could not turn the ball home"
169, Zouma kept Roberto Firmino and Salah very quiet with some strong tackling and was there to clear danger in the final stages when Liverpool went a bit more direct
170,Klopp's men had averaged a goal every 39 minutes at home this season but could only really point to a glaring one-on-one miss from Salah and a disallowed Danny Ings strike as clear-cut chances
171," Meanwhile, Ings had the ball in the net on the stroke of half-time but it was ruled out for offside"
172,"Salah then turned provider for Trent Alexander-Arnold, who only had Butland to beat from 10 yards but could not turn the ball home"
173,Stoke countered and almost broke the deadlock as a ball played right across the face of goal only just evaded a finishing touch from Mame Biram Diouf or Peter Crouch
174,Stoke countered and almost broke the deadlock as a ball played right across the face of goal only just evaded a finishing touch from Mame Biram Diouf or Peter Crouch
175,"Liverpool maintained their stranglehold of possession in the second period but Stoke - with Darren Fletcher added to their midfield, replacing Crouch - were well organised and rarely troubled"
176,"Liverpool maintained their stranglehold of possession in the second period but Stoke - with Darren Fletcher added to their midfield, replacing Crouch - were well organised and rarely troubled"
177,"The visitors looked like keeping Everton at bay even after Maya Yoshida was sent off with five minutes remaining until Davies' late strike, which leaves Southampton outside the relegation zone on goal difference ahead of a trip to 18th-placed Swansea on Tuesday night, live on Sky Sports"
178,"A poor first half was punctuated by two Southampton chances - Charlie Austin testing Pickford from 25 yards, and Oriol Romeu's deflected effort forcing the England international to punch clear"
179,"""Knockaert constantly wanted the ball down the right and caused Ashley Young all manner of issues, with a team-high 57 touches and 19 duels"
180,"After Marouane Fellaini had seen an early goal correctly ruled out for offside, Brighton's Glenn Murray forced a superb save out of De Gea with a fine half-volley from 25 yards"
181,"De Gea, who was named Manchester United Player of the Season for a record fourth time this week, did well to tip over Jose Izquierdo's long-range effort, and then showed his worth yet again by blocking Pascal Gross from an angle at the near post after some sloppy play by Fellaini"
182,"De Gea's opposite number Mathew Ryan did well to stop a low Paul Pogba effort after the break, but Brighton took the lead on 57 minutes thanks to the help of the Goal-line Decision System"
183,"Izquierdo nearly doubled Brighton's lead moments later, but fizzed an effort just wide at the far post with United on the ropes and both Pogba and Anthony Martial, in particular, struggling to influence the game"
184,"Martial did strike just wide towards the end, while sub Jesse Lingard miscued from a clear opportunity inside the box after a well-worked one-two with Martial"
185,"Martial did strike just wide towards the end, while sub Jesse Lingard miscued from a clear opportunity inside the box after a well-worked one-two with Martial"
186,"Three minutes later, Zaha's through-ball released substitute Jeffrey Schlupp"
187,The result was put beyond any doubt in the 81st minute when Loftus-Cheek rounded Hamer for a tap-in after being played in behind Leicester's defence by Mamadou Sakho
188," His shot as blocked by the onrushing Hamer but the rebound fell for Van Aanholt, who curled into the bottom right corner with his weaker right foot"
189,"First-half goals from Wilfried Zaha (17) and James McArthur (38) put Roy Hodgson's side in firm control at the break, and their position was further strengthened when Marc Albrighton was shown a straight red card (56)"
190,Claude Puel reacted by bringing on Adrien Silva and Fousseni Diabate at the break but the visitors' challenge was well and truly ended when Albrighton was given his marching orders after dragging down Zaha as the last man
191,Benteke came off the bench and was brought down in the penalty area by Harry Maguire in stoppage time
192,Both sides started brightly and it was a tale of two goalline clearances in the opening stages as Kelechi Iheanacho blocked James Tomkins' header before Joel Ward brilliantly kept out Jamie Vardy's goal-bound effort
193,Claude Puel reacted by bringing on Adrien Silva and Fousseni Diabate at the break but the visitors' challenge was well and truly ended when Albrighton was given his marching orders after dragging down Zaha as the last man
194,Claude Puel reacted by bringing on Adrien Silva and Fousseni Diabate at the break but the visitors' challenge was well and truly ended when Albrighton was given his marching orders after dragging down Zaha as the last man
195,"However, after playing a neat one-two in the box with Nikola Vlasic, Seamus Coleman was unable to beat Jonas Lossl at his near post, although that miss was soon forgotten as Everton went further ahead"
196,Huddersfield barely threatened and I do not remember Jordan Pickford having to make any saves of note in the whole 90 minutes
197,"From there on, though, the Baggies steadily grabbed the initiative, spurning two chances before finally breaking the deadlock as Jake Livermore's lofted pass released Phillips and he clinically fired past Martin Dubravka"
198,Newcastle pushed hard for an equaliser before the break but Mohamed Diame saw his attempt to convert a Florian Lejeune knockdown deflect behind for a corner from which a wonder save from Foster clawed Gayle's goal-bound header away from goal
